County,SubCounty
MOMBASA,MOMBASA
MOMBASA,CHANGAMWE
MOMBASA,JOMVU
MOMBASA,KISAUNI
MOMBASA,LIKONI
MOMBASA,MVITA
MOMBASA,NYALI
KWALE,KWALE
KWALE,KINANGO
KWALE,LUNGALUNGA
KWALE,MATUGA
KWALE,MSAMBWENI
KWALE,SAMBURU-KWALE
KILIFI,KILIFI
KILIFI,CHONYI
KILIFI,GANZE
KILIFI,KALOLENI
KILIFI,KAUMA
KILIFI,KILIFI NORTH
KILIFI,KILIFI SOUTH
KILIFI,MAGARINI
KILIFI,MALINDI
KILIFI,RABAI
TANA RIVER,TANA RIVER
TANA RIVER,TANA DELTA
TANA RIVER,TANA NORTH
TANA RIVER,TANA RIVER
LAMU,LAMU
LAMU,LAMU EAST
LAMU,LAMU WEST
TAITA/TAVETA,TAITA/TAVETA
TAITA/TAVETA,MWATATE
TAITA/TAVETA,TAITA
TAITA/TAVETA,TAVETA
TAITA/TAVETA,VOI
GARISSA,GARISSA
GARISSA,BALAMBALA
GARISSA,DADAAB
GARISSA,FAFI
GARISSA,GARISSA
GARISSA,HULUGHO
GARISSA,IJARA
GARISSA,LAGDERA
WAJIR,WAJIR
WAJIR,BUNA
WAJIR,ELDAS
WAJIR,HABASWEIN
WAJIR,TARBAJ
WAJIR,WAJIR EAST
WAJIR,WAJIR NORTH
WAJIR,WAJIR SOUTH
WAJIR,WAJIR WEST
MANDERA,MANDERA
MANDERA,MANDERA WEST
MANDERA,BANISA
MANDERA,KOTULO
MANDERA,LAFEY
MANDERA,MANDERA CENTRAL
MANDERA,MANDERA EAST
MANDERA,MANDERA NORTH
MARSABIT,MARSABIT
MARSABIT,LOIYANGALANI
MARSABIT,MARSABIT CENTRAL
MARSABIT,MARSABIT NORTH
MARSABIT,MARSABIT SOUTH
MARSABIT,MOYALE
MARSABIT,NORTH HORR
MARSABIT,SOLOLO
ISIOLO,ISIOLO
ISIOLO,GARBATULLA
ISIOLO,ISIOLO
ISIOLO,MERTI
MERU,MERU
MERU,BUURI EAST
MERU,BUURI WEST
MERU,IGEMBE CENTRAL
MERU,IGEMBE NORTH
MERU,IGEMBE SOUTH
MERU,IMENTI NORTH
MERU,IMENTI SOUTH
MERU,MERU CENTRAL
MERU,TIGANIA CENTRAL
MERU,TIGANIA EAST
MERU,TIGANIA WEST
MERU,MERU NATIONAL PARK
MERU,MT. KENYA FOREST
THARAKA-NITHI,THARAKA-NITHI
THARAKA-NITHI,IGAMBANG'OMBE
THARAKA-NITHI,MAARA
THARAKA-NITHI,MERU SOUTH
THARAKA-NITHI,THARAKA NORTH
THARAKA-NITHI,THARAKA SOUTH
THARAKA-NITHI,MT. KENYA FOREST
EMBU,EMBU
EMBU,EMBU EAST
EMBU,EMBU NORTH
EMBU,EMBU WEST
EMBU,MBEERE SOUTH
EMBU,MBEERE NORTH
EMBU,MT. KENYA FOREST
KITUI,KITUI
KITUI,IKUTHA
KITUI,KATULANI
KITUI,KISASI
KITUI,KITUI CENTRAL
KITUI,KITUI WEST
KITUI,KYUSO
KITUI,LOWER YATTA
KITUI,MATINYANI
KITUI,MIGWANI
KITUI,MUMONI
KITUI,MUTITU
KITUI,MUTITU NORTH
KITUI,MUTOMO
KITUI,MWINGI CENTRAL
KITUI,MWINGI EAST
KITUI,NZAMBANI
KITUI,THAGICU
KITUI,TSEIKURU
MACHAKOS,MACHAKOS
MACHAKOS,ATHI RIVER
MACHAKOS,KALAMA
MACHAKOS,KANGUNDO
MACHAKOS,KATHIANI
MACHAKOS,MACHAKOS
MACHAKOS,MASINGA
MACHAKOS,MATUNGULU
MACHAKOS,MWALA
MACHAKOS,YATTA
MAKUENI,MAKUENI
MAKUENI,KATHONZWENI
MAKUENI,KIBWEZI
MAKUENI,KILUNGU
MAKUENI,MAKINDU
MAKUENI,MAKUENI
MAKUENI,MBOONI EAST
MAKUENI,MBOONI WEST
MAKUENI,MUKAA
MAKUENI,NZAUI
NYANDARUA,NYANDARUA
NYANDARUA,KINANGOP
NYANDARUA,NYANDARUA SOUTH
NYANDARUA,MIRANGINE
NYANDARUA,KIPIPIRI
NYANDARUA,NYANDARUA CENTRAL
NYANDARUA,NYANDARUA WEST
NYANDARUA,NYANDARUA NORTH
NYANDARUA,ABERDARE NATIONAL PARK
NYERI,NYERI
NYERI,TETU
NYERI,KIENI EAST
NYERI,KIENI WEST
NYERI,MATHIRA EAST
NYERI,MATHIRA WEST
NYERI,NYERI SOUTH
NYERI,MUKURWE-INI
NYERI,NYERI CENTRAL
NYERI,MT. KENYA FOREST
NYERI,ABERDARE FOREST
KIRINYAGA,KIRINYAGA
KIRINYAGA,KIRINYAGA CENTRAL
KIRINYAGA,KIRINYAGA EAST
KIRINYAGA,KIRINYAGA WEST
KIRINYAGA,MWEA EAST
KIRINYAGA,MWEA WEST
KIRINYAGA,MT. KENYA FOREST
MURANG'A,MURANG'A
MURANG'A,MURANG'A EAST
MURANG'A,KANGEMA
MURANG'A,MATHIOYA
MURANG'A,KAHURO
MURANG'A,MURANG'A SOUTH
MURANG'A,GATANGA
MURANG'A,KIGUMO
MURANG'A,KANDARA
MURANG'A,ABERDARE FOREST
KIAMBU,KIAMBU
KIAMBU,GATUNDU NORTH
KIAMBU,GATUNDU SOUTH
KIAMBU,GITHUNGURI
KIAMBU,JUJA
KIAMBU,KABETE
KIAMBU,KIAMBAA
KIAMBU,KIAMBU
KIAMBU,KIKUYU
KIAMBU,LARI
KIAMBU,LIMURU
KIAMBU,RUIRU
KIAMBU,THIKA EAST
KIAMBU,THIKA WEST
TURKANA,TURKANA
TURKANA,KIBISH
TURKANA,LOIMA
